"emp_id","name_prefix","first_name","middle_initial","last_name","gender","e_mail","fathers_name","mothers_name","mothers_maiden_name","date_of_birth","time_of_birth","age_in_yrs","weight_in_kgs"
961282,"Mr.","Beau","M","Salerno","M","beau.salerno@yahoo.com","Perry Salerno","Bonny Salerno","Bustamante","1/8/1982","12:17:16 AM",35.58000183105469,71
882609,"Mr.","Patrick","R","Council","M","patrick.council@bp.com","Chase Council","Daisey Council","Connolly","9/22/1983","06:30:04 PM",33.869998931884766,83
949208,"Ms.","Clare","V","Oconnor","F","clare.oconnor@gmail.com","Teodoro Oconnor","Clotilde Oconnor","Wallen","5/6/1988","04:29:24 AM",29.25,56
552848,"Mr.","Freddy","C","Simpkins","M","freddy.simpkins@gmail.com","Riley Simpkins","Iluminada Simpkins","Tanner","7/29/1993","05:29:52 PM",24.010000228881836,83
753572,"Mr.","Mason","G","Carswell","M","mason.carswell@gmail.com","Clark Carswell","Soraya Carswell","Goldstein","4/6/1960","09:38:14 PM",57.349998474121094,76
620280,"Mr.","Kenneth","L","Windsor","M","kenneth.windsor@hotmail.co.uk","Stevie Windsor","Dovie Windsor","Acker","9/18/1990","10:36:40 PM",26.8799991607666,55
653595,"Mrs.","Shanita","I","Tilton","F","shanita.tilton@hotmail.com","Thomas Tilton","Jeanice Tilton","Nail","5/2/1972","03:11:05 AM",45.27000045776367,56
766084,"Drs.","Lita","B","Avila","F","lita.avila@hotmail.com","Earl Avila","Hsiu Avila","Mcnamee","1/6/1969","01:23:45 PM",48.59000015258789,41
420425,"Mr.","Tim","W","Sallee","M","tim.sallee@yahoo.com","Percy Sallee","Darcey Sallee","Bourgeois","8/16/1991","02:01:53 PM",25.969999313354492,68
967019,"Mr.","Dominique","S","Duncan","M","dominique.duncan@verizon.net","Lou Duncan","Ruby Duncan","Hammonds","12/4/1973","03:22:16 AM",43.68000030517578,52
605376,"Ms.","Daisy","E","Noland","F","daisy.noland@yahoo.com","Brice Noland","Otelia Noland","Venegas","1/15/1962","11:12:49 AM",55.56999969482422,40
890988,"Mr.","Deon","S","Brackett","M","deon.brackett@gmail.com","Fausto Brackett","Judie Brackett","Odom","3/14/1967","02:13:36 PM",50.40999984741211,86
